pais,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
CAMBOYA ,98,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
CHINA ,61972,932,972,1115,1158,954,901,734,1096,792,  ,  
COREA DEL NORTE ,4256,38,57,44,46,77,9,22,16,17,  ,  
COREA DEL SUR ,60540,1462,1233,1233,951,683,908,552,538,684,  ,  
FILIPINAS ,31476,170,248,249,203,93,66,125,242,194,  ,  
HONG KONG ,540,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
INDIA ,24258,286,174,380,226,203,195,264,238,247,  ,  
INDONESIA ,4971,36,87,110,38,46,21,31,33,36,  ,  
JAPON ,111840,1802,2075,1807,1182,834,675,742,969,975,  ,  
LAOS ,660,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
MALASIA ,5372,101,134,77,55,67,62,46,67,89,  ,  
MALDIVAS ,126,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
MAYNMAR ,1271,3,1,4,2,4,1,0,9,1,  ,  
MONGOLIA ,219,1,1,7,1,1,0,0,0,0,  ,  
NEPAL ,266,3,3,4,2,9,1,3,6,2,  ,  
OTROS PAISES DE ASIA ,6055,255,290,120,93,59,41,51,50,51,  ,  
SINGAPUR ,4874,83,96,125,90,48,70,55,51,82,  ,  
SRI LANKA ,645,5,26,9,3,4,2,2,3,1,  ,  
TAILANDIA ,2957,55,44,91,65,21,31,22,42,24,  ,  
TAIWAN ,7738,129,215,225,131,129,92,67,71,60,  ,  
VIETNAM ,1078,7,12,11,32,7,9,0,14,5,  ,  
AFGANISTAN ,165,1,1,5,1,1,5,5,13,9,  ,  
ARABIA SAUDITA ,240,2,6,4,8,0,9,0,5,3,  ,  
BAHREIN ,13,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
CHIPRE ,555,4,17,3,4,1,5,8,1,4,  ,  
EMIRATOS ARABES ,435,2,5,2,0,2,5,1,0,6,  ,  
IRAK ,193,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
IRAN ,875,6,6,17,4,9,4,7,3,2,  ,  
ISRAEL ,165523,5481,3901,2754,1052,431,240,277,270,535,  ,  
JORDANIA ,1783,24,4,14,3,2,1,4,6,1,  ,  
KUWAIT ,473,1,3,1,0,0,0,4,2,0,  ,  
LIBANO ,894,15,13,14,8,7,9,7,8,5,  ,  
OMAN ,80,11,0,0,0,0,4,0,3,0,  ,  
PAKISTAN ,1733,19,13,20,19,15,23,17,20,17,  ,  
QATAR ,57,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
SIRIA ,392,9,1,8,3,5,2,4,4,6,  ,  
TURQUIA ,8371,300,222,264,108,92,72,61,85,118,  ,  
YEMEN ,86,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
